Key,Value
zip,30313
sector,Consumer Defensive
fullTimeEmployees,80300
longBusinessSummary,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks; water, enhanced water, and sports drinks; juice, dairy, and plantÂbased beverages; tea and coffee; and energy drinks. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Fanta, Fresca, Schweppes, Sprite, Thums Up, Aquarius, Ciel, Dasani, glacÃ©au smartwater, glacÃ©au vitaminwater, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, Minute Maid Pulpy, Simply, Ayataka, Costa, dogadan, FUZE TEA, Georgia, Gold Peak, HONEST TEA, and Kochakaden brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia."
city,Atlanta
phone,404 676 2121
state,GA
country,United States
companyOfficers,[]
website,https://www.coca-colacompany.com
maxAge,1
address1,One Coca-Cola Plaza
industry,Beverages—Non-Alcoholic
ebitdaMargins,0.35199
profitMargins,0.23313999
grossMargins,0.60723996
operatingCashflow,12855000064
revenueGrowth,0.161
operatingMargins,0.31123
ebitda,13306000384
targetLowPrice,58
recommendationKey,buy
grossProfits,19581000000
freeCashflow,7007374848
targetMedianPrice,64
currentPrice,59.6
earningsGrowth,0.425
currentRatio,1.516
returnOnAssets,0.07831
numberOfAnalystOpinions,25
targetMeanPrice,63.72
debtToEquity,172.826
returnOnEquity,0.39722002
targetHighPrice,70
totalCash,14871000064
totalDebt,41707999232
totalRevenue,37802000384
totalCashPerShare,3.443
financialCurrency,USD
revenuePerShare,8.771
quickRatio,1.173
recommendationMean,2.1
exchange,NYQ
shortName,Coca-Cola Company (The)
longName,The Coca-Cola Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,KO
messageBoardId,finmb_26642
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,7.597
beta3Year,
enterpriseToEbitda,21.583
52WeekChange,0.21709049
morningStarRiskRating,
forwardEps,2.43
revenueQuarterlyGrowth,
sharesOutstanding,4319419904
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,5.135
sharesShort,31874471
sharesPercentSharesOut,0.0074
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.7005
netIncomeToCommon,8812999680
trailingEps,2.031
lastDividendValue,0.42
SandP52WeekChange,0.15025425
priceToBook,11.606621
heldPercentInsiders,0.00636
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1633046400
shortRatio,1.6
sharesShortPreviousMonthDate,1638230400
floatShares,3890760972
beta,0.712113
enterpriseValue,287178719232
priceHint,2
threeYearAverageReturn,
lastSplitDate,1344816000
lastSplitFactor,2:1
legalType,
lastDividendDate,1638230400
morningStarOverallRating,
earningsQuarterlyGrowth,0.423
priceToSalesTrailing12Months,6.8101535
dateShortInterest,1640908800
pegRatio,2.77
ytdReturn,
forwardPE,24.526747
lastCapGain,
shortPercentOfFloat,0.0074
sharesShortPriorMonth,24026403
impliedSharesOutstanding,4311130112
category,
fiveYearAverageReturn,
previousClose,59.82
regularMarketOpen,59.79
twoHundredDayAverage,55.77645
trailingAnnualDividendYield,0.027917083
payoutRatio,0.82269996
volume24Hr,
regularMarketDayHigh,60.345
navPrice,
averageDailyVolume10Day,20867790
regularMarketPreviousClose,59.82
fiftyDayAverage,57.6512
trailingAnnualDividendRate,1.67
open,59.79
toCurrency,
averageVolume10days,20867790
expireDate,
algorithm,
dividendRate,1.68
exDividendDate,1638230400
circulatingSupply,
startDate,
regularMarketDayLow,59.21
currency,USD
trailingPE,29.34515
regularMarketVolume,18219394
lastMarket,
maxSupply,
openInterest,
marketCap,257437417472
volumeAllCurrencies,
strikePrice,
averageVolume,17746368
dayLow,59.21
ask,0
askSize,1000
volume,18219394
fiftyTwoWeekHigh,61.45
fromCurrency,
fiveYearAvgDividendYield,3.21
fiftyTwoWeekLow,48.11
bid,0
tradeable,False
dividendYield,0.028099999
bidSize,800
dayHigh,60.345
regularMarketPrice,59.6
preMarketPrice,
logo_url,https://logo.clearbit.com/coca-colacompany.com
trailingPegRatio,2.6848
